stemword,origin words
replication-defect,replication-defective
nucleu,nucleus
non-permiss,non-permissive
proteom,proteomics proteome proteomically proteomes
phosphoproteom,phosphoproteome
code,coding coded codes
aberr,aberrant
polyadenyl,polyadenylation
usag,usage usages
repertoir,repertoire
adenovir,adenoviral
transcriptom,transcriptomic transcriptome transcriptomes transcriptomics
manpower-sav,manpower-saving
pauciti,paucity
liquid-bas,liquid-based
bead-bas,bead-based
suit,suited suites suits
workflow,workflows
cope,coping
order,ordered ordering orders
fast-track,fast-tracked fast-tracking
publicli,publicly
transcrib,transcribed
6800-base,6800-based
envelop,envelope enveloped envelopes envelops
invalid-r,invalid-rate
cobas6800-bas,cobas6800-based
microenviron,microenvironment microenvironments
densiti,density densities
antigen-pres,antigen-presenting
accessori,accessory accessories
patch,patches
intracutan,intracutaneous
concept,concepts conception conceptions
immunobiolog,immunobiology immunobiological
map-medi,map-mediated
map-bas,map-based
ration,rational rationalizes rationing rationally rationalized rationality
map-deliv,map-delivered
biofir,biofire
bivari,bivariate bivariable
weigh,weighed weighing
eas,ease eased easing eases
henri,henry
commiss,commissioning commissioned
tropic,tropical
neglect,neglected neglecting
schistosomiasi,schistosomiasis
leishmaniasi,leishmaniasis
chaga,chagas
book,books booked
gain,gaining gained gains
sars-rel,sars-related
sarsr-cov,sarsr-covs
anti-coronaviru,anti-coronavirus
β-cov-b,β-cov-bs
peptide-bas,peptide-based
inhal,inhalation inhaled inhalers inhalations inhaling
beij,beijing
acid-confirm,acid-confirmed
backgroundestim,backgroundestimates
2020.methodsparticip,2020.methodsparticipants
advertis,advertising advertisement advertisements
self-sampl,self-sampled self-sampling
assay.resultsoveral,assay.resultsoverall
overlap,overlapped overlapping overlaps
retain,retained retaining retains
months.conclusionquantit,months.conclusionquantitative
nonhospit,nonhospitalized
vaccine.fundingn,vaccine.fundingnational
elementari,elementary
mildli,mildly
pam,pams
nutrit,nutrition nutritional
acid-posit,acid-positive
nr,nrs
nutrition-rel,nutrition-related
acknowledg,acknowledged acknowledging acknowledgement acknowledgements acknowledgment acknowledgments acknowledges
irrespons,irresponsible
non-adher,non-adherence non-adherent
behaviour,behaviours behavioural
comfort,comfortable comfortably
oropharyngeal/nas,oropharyngeal/nasal
two-dos,two-dose two-doses
boost,boosting boosted boosts
prime,priming primed
mount,mounting mounted
naïv,naïve
offic,office offices officers
possess,possesses possessing possession possessed
proactiv,proactive proactivity proactively
unabl,unable
dentist,dentists
at-hom,at-home
team,teams
immunotherapeut,immunotherapeutics
mild-to-substanti,mild-to-substantial
notifi,notified notifies notifying notifiable
undergradu,undergraduate undergraduates
major,majority majorities majors
on-campu,on-campus
dormitori,dormitories dormitory
interview,interviewed interviews interviewing
undergraduate-ag,undergraduate-aged
inelig,ineligible
wg,wgs
break,breaks breaking
delin,delineated delineates delineating
mass-scal,mass-scale
resembl,resemblance resemble resembling resembles resembled
rapidly-shift,rapidly-shifting
flash-scarc,flash-scarcity
motiv,motivated motivational motives motivating motivates motivations motivators
liquid-handl,liquid-handling
robot,robots robotic robotics
opentron,opentrons
templat,template templates
stand-alon,stand-alone
station,stations
multi-stag,multi-stage
fine-tun,fine-tune fine-tuned fine-tuning
afford,affordability affords affordable affording afforded
qualifi,qualified qualifying qualifies
bioinformat,bioinformatics
consum,consumable consuming consumables consume consumer consumers consumed
temporari,temporary
constraint,constraints
entail,entailing entails entailed
restor,restore restoring restored restoration
high-prior,high-priority
palli,palliative
second-lin,second-line
radiotherapi,radiotherapy
haematopoiet,haematopoietic
non-repl,non-replicating non-replication
non-immunocompromis,non-immunocompromised
strongli,strongly
kent/unit,kent/united
r‑valu,r‑value
ineffect,ineffective ineffectiveness
nonvaccin,nonvaccinated
demand,demands demanding demanded
crown,crowned
spotlight,spotlights spotlighted
pre-clin,pre-clinical
intrins,intrinsic intrinsically
symptom-bas,symptom-based
testing-chang,testing-changes
twelv,twelve
1-odd,1-odds
postpon,postponing postponed postponement
subpopul,subpopulations
scheme,schemes
propag,propagated propagation propagating propagates propagators
network,networks networked networking
demographi,demography
tailor,tailored tailoring
detriment,detrimental detrimentally
practition,practitioners
minimis,minimise minimises minimised minimising minimisation
regularli,regularly
nowaday,nowadays
turnov,turnover
transmission-bas,transmission-based
test-bas,test-based
lower-middle-incom,lower-middle-income
nonemerg,nonemergent nonemergency
semiurg,semiurgent
indetermin,indeterminate
ct,cts
categor,categorized categorical categorizing categorically categorizations
low-preval,low-prevalence low-prevalent
pyrococcu,pyrococcus
furiosu,furiosus
argonaut,argonaute
dna,dnas
beacon,beacons
accomplish,accomplished accomplishments accomplishes accomplishing
shorten,shortened shortening
allevi,alleviated alleviates alleviation alleviating
single-nucleotid,single-nucleotide
virion,virions
transmembran,transmembrane
proteas,protease proteases
serin,serine
sars-cov-2-medi,sars-cov-2-mediated sars-cov-2-mediating
coagul,coagulation coagulative
neuron,neuronal neurons
inflamm,inflammation inflammations
governor,governorates
local,localities localization locally locals localized locales localizes
visit,visiting visited visits visitation
household,households
palestinian,palestinians
palestin,palestine
emphasis,emphasising emphasises emphasised
april-jun,april-june
felin,feline
canin,canine
dog,dogs
cat,cats
spike-pseudotyp,spike-pseudotyped
stomat,stomatitis
rbd-specif,rbd-specific
n-seroposit,n-seropositive
rbd-seroposit,rbd-seropositive
n-base,n-based
n-specif,n-specific
elisa-bas,elisa-based
equit,equitable equitably
uninterrupt,uninterrupted
interrupt,interruption interrupting interrupted interruptions
longev,longevity
contradictori,contradictory
pc,pcs
anti-spik,anti-spike
smoke,smoking smoked
olfactori,olfactory
gustatori,gustatory
mildly-affect,mildly-affected
fifty-on,fifty-one
pain,painful pains
patient-infect,patient-infected
normalas,normalase
filter,filtered filters filtering
allel,allele alleles allelic
evas,evasion evasive
allergi,allergy allergies
embodi,embodiment embodying
proffer,proffered proffers
fingerprint,fingerprinting
suprem,supreme
promin,prominence prominent prominently
data-set,data-sets
precision-bas,precision-based
userfriendli,userfriendly
immeasur,immeasurably
perquisit,perquisite
disciplin,discipline disciplined disciplines
structure-bas,structure-based
militari,military
polic,police polices
grand,grande
borderlin,borderline
titter,titters
inhabit,inhabitants inhabited
univari,univariate univariable
unexplor,unexplored
virem,viremic
unparallel,unparalleled
file,filed files filing
firstli,firstly
probe,probes probing probed
transcriptase-polymeras,transcriptase-polymerase
biochemistri,biochemistry
transistor-bas,transistor-based
colloid,colloidal colloids
bodili,bodily
hcw,hcws
enorm,enormous enormously
web-bas,web-based
point-of-care-test,point-of-care-testing
results/conclus,results/conclusion results/conclusions
high-definit,high-definition
serial,serially
brand,brands branding
case-report,case-reports
endogen,endogenous
assembl,assembled assembly assemblies
protrud,protrude protruding
native-lik,native-like
conform,conformation conformational conformations conformism conformed conforming conformal conformity conformationally
vigor,vigorous vigorously
free-float,free-floating
destroy,destroyed destroying destroys
receptor,receptors
platelet,platelets
inevit,inevitably inevitable
redun,reduning
chines,chinese
antipyret,antipyretic antipyretics
amelior,amelioration ameliorate ameliorated
defervesc,defervescence
cytopath,cytopathic
reliev,relieves relieved relieving
cytokine-rel,cytokine-related
relaps,relapses relapsing relapsed
pertin,pertinent
disease-modifi,disease-modifying
dmt,dmts
coordin,coordinated coordination coordinating coordinators coordinative coordinates
memori,memory memorial
interferon,interferons
glatiram,glatiramer
acet,acetate
sphingosine-1-phosph,sphingosine-1-phosphate
sequest,sequester
deplet,depleting depletion depleted depletes
cells-hav,cells-have
fetus,fetuses
maternal-neonat,maternal-neonatal
double-centr,double-centre
vagin,vaginally
similarli,similarly
alter,altered alterations altering alters
difficulti,difficulties difficulty
anneal,annealing
primer-medi,primer-mediated
displac,displacement displacing displaced displaceable
5'-modifi,5'-modified
fluorophor,fluorophore fluorophores
3'-modifi,3'-modified
elong,elongation elongated
merit,merits meriting
simplic,simplicity
most-affect,most-affected
non-covid-19-design,non-covid-19-designated
neurosurg,neurosurgical
ailment,ailments
march-juli,march-july
zone,zones zoning
orang,orange
pulmonology/med,pulmonology/medical
specialist,specialists
high-volum,high-volume
complaint,complaints
input,inputs
nonspecif,nonspecific nonspecifically
viabl,viable
predictor,predictors
nationwid,nationwide
reaction-posit,reaction-positive
community-manag,community-managed
all-caus,all-cause
co-morbid,co-morbidities co-morbidity
or,ors
ischaem,ischaemic
hospital-diagnos,hospital-diagnosed
transplant,transplantation transplanted transplants transplantations
psychiatr,psychiatric
multimorbid,multimorbidity
midturbin,midturbinate
nuclisen,nuclisens
holog,hologic
voluntari,voluntary
complianc,compliance
avers,averse aversion
confus,confusion confused confusing confusable
score-bas,score-based
lower,lowering lowered lowers
epidemiologist,epidemiologists
mark,marked markings marks
bond,bonding bonds
viabil,viability
operation,operationalized operationalization operationalizing
submit,submitted submitting
enrich,enriched enrichment
interest,interested interesting interests
composit,composite compositions compositional
molbiol/roch,molbiol/roche
cross,crossing crossed crosses
covid-19-lik,covid-19-like
esplin,espline
copies/react,copies/reaction
unaccept,unacceptable unacceptably
pre-process,pre-processing pre-processed
surface-enhanc,surface-enhanced
ser,sers
microchannel,microchannels
coat,coated coating coatings
nanotub,nanotubes
micro/nano-filt,micro/nano-filter
fluids/secret,fluids/secretions
signatur,signatures
inconveni,inconvenience inconvenient
anonym,anonymous anonymized anonymously
asymptomatic/presymptomat,asymptomatic/presymptomatic
rheumat,rheumatism rheumatic
orthoped,orthopedic
wear,wearing
mouth-nos,mouth-nose
accompani,accompanying accompanied accompanies
ye,yes
cornerston,cornerstone cornerstones
real-lif,real-life
factori,factory factories factorial factorially
insid,inside
telework,teleworking
individual-bas,individual-based
decentr,decentralized decentralization
home,homes homing
contact-target,contact-targeted
agent-bas,agent-based
susceptible-exposed-infecti,susceptible-exposed-infectious
asymptomatic/symptomat,asymptomatic/symptomatic
-recov,-recovered
staf,staffing
presum,presumed presumably presuming presumable
replac,replaced replaces replacement replacing replacements
reclaim,reclaiming
financ,financing financed
costli,costly
allergen,allergenicity allergens
reassur,reassuring reassure reassures reassurance reassured
pediatrician,pediatricians
instil,instill instilling instillation
licensur,licensure
re-engag,re-engage
indirectli,indirectly
transpar,transparent transparency transparently
vial,vials
darnel,darnell
rockefel,rockefeller
co-collect,co-collected
otherwis,otherwise
teacher,teachers
pod,pods podding
covid-19-recov,covid-19-recovered
vida,vidas
send,sending
efficacy/effect,efficacy/effectiveness
label-fre,label-free
electrochem,electrochemical
graphen,graphene
electrod,electrode electrodes
perturb,perturbation perturbations
ferri/ferrocyanid,ferri/ferrocyanide
on-sit,on-site
divert,diverted diverting
derail,derailed
immune-modul,immune-modulating immune-modulators
interplay,interplaying
disjunct,disjunctive
turbid,turbidity
tear,tears tearing
ophthalmolog,ophthalmology ophthalmological
sting,stinging stings
clemen,clemens
randomis,randomised randomisation
stress,stresses stressed stressing stressful
unextract,unextracted
modif,modification modifications
primers/prob,primers/probe primers/probes
extraction/purif,extraction/purification
unconcentr,unconcentrated
conting,contingency contingent contingence
rise,rising rises
captur,capture capturing captured captures
resolv,resolved resolving
friends/famili,friends/family
indoor,indoors
race/ethn,race/ethnicity
dose-respons,dose-response
lfia,lfias
imperi,imperial
affili,affiliated affiliation affiliates affiliations
trust,trusts trusted trusting
store,stored storing stores
match,matched matches matching
clearli,clearly
agenc,agencies agency
freez,freezing freeze
thermostabil,thermostabilizing
chain-fre,chain-free
needle-fre,needle-free
obtent,obtention
segment,segments segmentation segmenting segmental segmented
guarante,guarantee guaranteed guarantees guaranteeing
transcription-loop-medi,transcription-loop-mediated
ce-label,ce-labeled
viasur,viasure
contrari,contrary
unprocess,unprocessed
true-posit,true-positive
containment-bas,containment-based
golaymetamin,golaymetaminer
untarget,untargeted
probe-fre,probe-free
human-pathogen,human-pathogenic
satisfactori,satisfactory
imprecis,imprecision
http,https
thousand,thousands
calam,calamity
rock,rocked
development,developmental
overrid,overriding
2019-coronaviru,2019-coronavirus
hope,hoped hopes hopefully hoping
rejuven,rejuvenate
flight,flights
ceas,cease ceases ceased
resum,resumes resumed resuming
imaging/biomark,imaging/biomarker
high-technolog,high-technology
favor,favorably favorable favored favors favoring
strong-posit,strong-positive
weak-posit,weak-positive
oxygen,oxygenation
antisens,antisense
corticosteroid,corticosteroids
acquisit,acquisition acquisitions
undiagnos,undiagnosed
diversifi,diversified diversifying
op,ops
urin,urine
multi-vari,multi-varied
post-treat,post-treatment
afflict,afflicted affliction afflictions afflicting afflicts
figur,figure figures
genotyp,genotype genotypes genotyping genotyped genotypic
glycol,glycolization glycols
blocker,blockers
cpp,cpps
co-deliveri,co-delivery
solubl,soluble solubility
charg,charged charging charges
moieti,moieties
ligand,ligands
dendrit,dendritic
stringi,stringy
covid19serospe,covid19serospeed
pari,paris
bio,bios
assay/chemiluminesc,assay/chemiluminescence
cytometri,cytometry
cytometer-friendli,cytometer-friendly
stabli,stably
truncat,truncated truncation truncating
self-cleav,self-cleaving
anti-,anti-s
double-stain,double-staining
research-grad,research-grade
spike-specif,spike-specific
pandemic.import,pandemic.importance
infection-to-deliveri,infection-to-delivery
transplacent,transplacental transplacentally
twenti,twenty twenties
babi,babies baby
mother,mothers
obstetr,obstetrics obstetrical
gynecolog,gynecology gynecologic gynecological
positive-sens,positive-sense
crown-lik,crown-like
spike,spikes spiked spiking
epitheli,epithelial
t-cell,t-cells
implant,implantation implants implanted
druggabl,druggable druggability
3-chymotrypsin-lik,3-chymotrypsin-like
cystein,cysteine cysteines
rna-depend,rna-dependent
rational,rationale rationales
biotic,biotical
-confirm,-confirmed
rna-neg,rna-negative
phlebotomi,phlebotomy
elut,elution eluted eluting elutes
mismatch,mismatched mismatches
community-bas,community-based
bia,bias
proxi,proxy proxies proxied
poststratif,poststratification
track,tracking tracked tracks
urban-suburban-rur,urban-suburban-rural
antibody-bas,antibody-based
in-vitro-diagnost,in-vitro-diagnostic
host-deriv,host-derived
'tradit,'traditional
chemistri,chemistry chemistries
near-pati,near-patient
equal,equally equality equaled
age-specif,age-specific
recurr,recurrent recurrence recurrences
tonsil,tonsillitis
tonsillectomi,tonsillectomy
detritu,detritus
more-sever,more-severe
cautious,cautiously cautiousness
cutoff,cutoffs
immunoenzymat,immunoenzymatic
interspac,interspaced
palindrom,palindromic
repeats/ca,repeats/cas
‑base,‑based
await,awaiting awaited awaits
virus.sinc,virus.since
conscienti,conscientiously
warn,warning warnings warns warned
fear,fearful fears feared
hws-relat,hws-related
lifestyl,lifestyle lifestyles
work-rel,work-related
safeguard,safeguarded safeguarding safeguards
captiv,captive captivity
succumb,succumbing succumbed
handl,handled handling handles
compassion,compassionate
adjunct,adjunctive adjuncts adjunction
geriatr,geriatric
psychiatri,psychiatry
thirti,thirty thirties
malrot,malrotation
laparoscopi,laparoscopy
intra-op,intra-operatively
high-effici,high-efficiency
particul,particulate particulates
reposit,repositioning repositioned repositivity repositive repositives
re-infect,re-infection re-infected re-infections
in-lin,in-line
inflict,inflicted inflicting inflicts
catastroph,catastrophic catastrophe catastrophically
stability-put,stability-putting
bear,bears bearing
heavi,heavy
groundbreak,groundbreaking
biontech/pf,biontech/pfizer
exceedingli,exceedingly
confin,confined confinement confining confinements
renal-rel,renal-related
exacerb,exacerbated exacerbations exacerbates exacerbating
sanitari,sanitary
imper,imperative imperatively imperatives
prototyp,prototypes prototypic
beginning-wer,beginning-were
suspend,suspended suspending
one-hundr,one-hundred
donner,donners
lumipuls,lumipulse
mild-to-moder,mild-to-moderate
superspread,superspreaders superspreading
tabl,table tables tabling
quantil,quantile quantiles
median,medians
mild/moder,mild/moderate
cytomegaloviru,cytomegalovirus
organization-intern,organization-international
hcov,hcovs
oc43-circul,oc43-circulate
unintend,unintended
examined.abbrevi,examined.abbreviations
demyelin,demyelinating demyelination
encephalomyel,encephalomyelitis
academi,academy academies
bacillu,bacillus
natriuret,natriuretic
cerebrospin,cerebrospinal
ribonucl,ribonucleic
randomised-control,randomised-controlled
necrosi,necrosis
transit,transition transitioning transiting transitted transitions transitional
quaternary-car,quaternary-care
free-stand,free-standing
preadmiss,preadmission
preprocedur,preprocedural preprocedure
entranc,entrance
mucos,mucosal mucosally
probiot,probiotics
immunomodulatori,immunomodulatory
adjuvant,adjuvanticity adjuvantation
neighbor,neighbors neighboring
unpair,unpaired
revis,revision revised
board,boarding boards boarded
full-tim,full-time
faculti,faculty faculties
air-handl,air-handling
20-novemb,20-november
non-vaccin,non-vaccine non-vaccinated non-vaccination
race-ethn,race-ethnicity
non-hispan,non-hispanic
graduat,graduate graduated graduates graduation
attain,attainment attained attains attainable attaining
tempor,temporal temporally
rdt,rdts
automated/manu,automated/manual
ia,ias
pre-epidem,pre-epidemic
underlin,underlines underlined underlining
civil,civilization
partial/complet,partial/complete
citizen,citizens
fruit,fruitful
nonhazard,nonhazardous
malfeas,malfeasance
gloomi,gloomy
nanoscientist,nanoscientists
interven,intervene intervening intervenants intervened
inter,interation
perceptu,perceptualized
copiou,copious
nanomedicin,nanomedicines nanomedicinal
fifti,fifty
pre-coronaviru,pre-coronavirus
laboratorian,laboratorians
meta-analys,meta-analyses
rule,ruling rules ruled
head,heading heads headings
data/articl,data/articles
near-neighbor,near-neighbors
hospital-admit,hospital-admitted
chronic,chronically
co-effici,co-efficiency co-efficient
pre-diagnost,pre-diagnostic
perfectli,perfectly
prefectur,prefectures prefectural
iwat,iwate
solv,solved solving
semest,semester semesters
detection.th,detection.the
.thi,.this
clue,clues
pcr-neg,pcr-negative
room,rooms roomed
convinc,convincing convinced
high-qual,high-quality
scanner,scanners
supplier,suppliers
side-by-sid,side-by-side
hiv-infect,hiv-infected
semiquantit,semiquantitative
dock,docking docked
covid-19.commun,covid-19.communicated
ramaswami,ramaswamy
migrant,migrants
asylum-seek,asylum-seekers
land,landed
sicili,sicily
full-genom,full-genome
re-engin,re-engineering
sars-cov-2-induc,sars-cov-2-induced
ifn-inn,ifn-innate
clarifi,clarify clarified clarifies clarifying
pre-intervent,pre-intervention pre-interventional
reinstat,reinstating reinstated
athlet,athletes athletics
myocardi,myocardial
morpholog,morphology morphological morphologies morphologically
cardiopulmonari,cardiopulmonary
handbal,handball
player,players
teammat,teammates
echocardiograph,echocardiographic
rest,resting rests
t2-map,t2-mapping
lake-loui,lake-louis
spiroergometr,spiroergometric
puls,pulse pulsed
unchang,unchanged unchanging
spiroergometri,spiroergometry
labor-intens,labor-intensive
biolay,biolayer
interferometri,interferometry
single-us,single-use
exce,exceeds
serosurveil,serosurveillance
biomolecul,biomolecules
linger,lingered lingering
anal-swab,anal-swabs
tube,tubes
millilitr,millilitres
venepunctur,venepuncture
analog,analogical analogous analogy analogs
stochast,stochastic stochastically
characteris,characterise characterising characterised characterisation characterises
socio-cultur,socio-cultural
polit,political politics politically
disast,disasters
stop,stops stopping stopped
vaccine-prevent,vaccine-preventable
vpd,vpds
temporarili,temporarily
halt,halted halting
universally-recogn,universally-recognized
appreci,appreciation appreciable appreciating appreciate appreciated
seiz,seize
renew,renewed renewable
revit,revitalized revitalizing
pneumonia-lik,pneumonia-like
microorgan,microorganisms
phylogenet,phylogenetic phylogenetics phylogenetically
sequencing-bas,sequencing-based
swabs.methodolog,swabs.methodology
optigen,optigene
single-tub,single-tube
bypass,bypassing bypasses
hold,holding holds
intervals.result,intervals.results
time-to-posit,time-to-positive
emergency-us,emergency-use
limit-of-detect,limit-of-detection
interlaboratori,interlaboratory
assay.conclus,assay.conclusion
sixty-on,sixty-one
cohabit,cohabitant cohabiting cohabitants
caregiv,caregiver caregiving caregivers
co-work,co-worker co-workers
promptli,promptly
compart,compartments comparted
airway,airways
thereaft,thereafter
thorac,thoracic
ultrasound-guid,ultrasound-guided
thoracentesi,thoracentesis
abstractaim,abstractaims
unprepar,unprepared
cite,cited citing
asymptomatic/pre-symptomat,asymptomatic/pre-symptomatic
iter,iteratively iteration
may-jun,may-june
assist,assistants assisted assistance assisting
respir,respirators respiration
facemask,facemasks
easy-to-us,easy-to-use
devis,devised devising
cross-displac,cross-displacement
rt-mcda-b,rt-mcda-bs
testifi,testify testifying
visual,visually visualization visualize visualizing visualized visualizations
finish,finished
faec,faeces
impercept,imperceptible
nake,naked
sociolog,sociological
alga,algae
microalga,microalgae
high-valu,high-value
intensifi,intensifying intensified
pin,pinning pinned
upscal,upscaling upscaled
self-monitor,self-monitoring
recal,recalled recalls
bank,banked banking banks
post-hospit,post-hospital
magnitud,magnitude magnitudes
β-coronaviru,β-coronavirus
age-rel,age-related
immunosenesc,immunosenescence
inflammag,inflammaging
heighten,heightened
partit,partitioning partitions
think,thinking thinks
knowledge-bas,knowledge-based
dentistri,dentistry
non-infecti,non-infectious non-infectiousness
certainti,certainty
unab,unabated
coronavirus-specif,coronavirus-specific
acids-bas,acids-based
plasmid,plasmids
3d-print,3d-printed 3d-printing
freeli,freely
northwel,northwell
autonom,autonomous autonomic autonomously
fundament,fundamental fundamentally
idea,ideas
thought,thoughts thoughtful
pseudo-convolut,pseudo-convolutional
co-occurr,co-occurrence
matric,matrices
curb,curbing curbed
cross-disciplinari,cross-disciplinary
compens,compensating compensated compensation
serum-specif,serum-specific
nanopor,nanopore nanopores
regional/n,regional/national
high-frequ,high-frequency
incred,incredible incredibly
far-reach,far-reaching
strand,stranded strands
stringenc,stringencies stringency
runner,runners
predomin,predominant predominate predominance predominately predominated predominating
subclad,subclades
laboratory-diagnos,laboratory-diagnosed
citywid,citywide
vet,vetted vetting
embol,embolism embolization
entiti,entity entities
neuroimag,neuroimaging
neurophysiolog,neurophysiology
neuropathi,neuropathy neuropathies
epilepsi,epilepsy
ischem,ischemic
migrain,migraine
weak,weakness weaknesses
sedat,sedation
withdraw,withdrawal withdrawing
neutrophil/lymphocyt,neutrophil/lymphocyte
positive/neg,positive/negative
quantiti,quantity quantities
regimen,regimens
single-dilut,single-dilution
duplic,duplicates
letter,letters
matur,mature maturation maturity matured
edit,edition editing edited edits
well-describ,well-described
viennes,viennese
government,governmental
disturb,disturbances disturbed disturbs
antibody-posit,antibody-positive
capit,capital
naso-oropharyng,naso-oropharyngeal
singapor,singapore
roommat,roommates
amplicon-bas,amplicon-based
test-posit,test-positive test-positives
race,raced racing races
marci,marcy
l'etoil,l'etoile
antigen-posit,antigen-positive
médecin,médecins
san,sans
frontièr,frontières
disease-rel,disease-related
virosom,virosome virosomes
lipid,lipidic lipids
nanocarri,nanocarriers
bioinspir,bioinspiration
biomimet,biomimetic
evok,evoke evoked evokes
antibody-produc,antibody-producing
endocytosis-medi,endocytosis-mediated
fabric,fabricate fabricated fabrication fabricating fabrics
virosome-bas,virosome-based
someon,someone
third-gener,third-generation
item,items
pubmed/medlin,pubmed/medline
incept,inception
forty-nin,forty-nine
hispan,hispanic hispanics
patient-rel,patient-related
unrepres,unrepresentative
serosurvey,serosurveys
temper,tempered temperate
vaccine-induc,vaccine-induced
re-vaccin,re-vaccination
fortun,fortunately
chart,charts
reverse-transcriptase-polymerase-chain-react,reverse-transcriptase-polymerase-chain-reaction
aerosol-gener,aerosol-generating
neuropsychiatr,neuropsychiatric
psychosi,psychosis
psychot,psychotic
inchoat,inchoate
middle-ag,middle-aged
presentation-character,presentation-characterized
delus,delusions
hallucin,hallucinations
disorgan,disorganized
hospitalization-wa,hospitalization-was
electroencephalographi,electroencephalography
grossli,grossly
unremark,unremarkable
unrev,unrevealing
hybrid,hybridization hybridizes hybridizing hybridized hybrids
roll,rolling rolled
circl,circle circles
aptam,aptamers
multiplex,multiplexer multiplexing multiplexed multiplexable
porou,porous
nanowir,nanowire nanowires
coating/bond,coating/bonding
noroviru,norovirus
illumin,illuminating illuminated illumination illuminance
atmospher,atmospheric atmosphere
ward,wards warding
matter,matters
pool-test,pool-testing
histor,historically
syphili,syphilis
medline/pubm,medline/pubmed
pre-analyt,pre-analytical pre-analytically
re-sampl,re-sampling
clia,clias
parasit,parasitic parasites
opinion,opinions opinionated
biosafeti,biosafety
pseudoviru,pseudovirus
collector,collectors
ccp,ccps
s/co,s/cos
participant-report,participant-reported
anti-spike-seroneg,anti-spike-seronegative
anti-spike-seroposit,anti-spike-seropositive
ensu,ensuing ensued
categori,category categories
circumv,circumvent circumvents
plants/herb,plants/herbs
constitu,constituents constituencies
fact,facts
hurdl,hurdles
off-label,off-labeled
surg,surge surges surging surged
administration-defin,administration-defined
i-r,i-re
antiretrovir,antiretroviral
pauci-symptomat,pauci-symptomatic
user,users
cautiou,cautious
sweep,sweeping sweeps
drop,dropped dropping drops
sharpli,sharply
areas/neighborhood,areas/neighborhoods
will,willing
registri,registry registries
indicators.twenty-on,indicators.twenty-one
moderate-sever,moderate-severe
p-valu,p-value p-values
covid-19-na,covid-19-naive
time-sensit,time-sensitive
multisit,multisite
-author,-authorized
rna-extraction-fre,rna-extraction-free
nano-amplifi,nano-amplified
plasmon,plasmonic
cap,capped caps capping
oligonucleotid,oligonucleotides
aso,asos
agglomer,agglomeration
municip,municipalities municipality
face-to-fac,face-to-face
explanatori,explanatory
everyon,everyone
'collabor,'collaboration
multi-sector,multi-sectoral
hesit,hesitancy hesitant hesitate hesitated hesitation hesitance hesitators
add,adds
mutual,mutually
multidimension,multidimensional
science-bas,science-based
constantli,constantly
happen,happens happened happening
broad-act,broad-acting
pan-coronaviru,pan-coronavirus
three-sit,three-site
24-decemb,24-december
holiday,holidays
adolesc,adolescents adolescence
age-structur,age-structured
parameter,parameterized
skyrocket,skyrocketed
igg/tot,igg/total
electro-chemiluminesc,electro-chemiluminescent electro-chemiluminescence
anti,antis
unknowingli,unknowingly
subclin,subclinical
chlorhexidin,chlorhexidine
transient,transiently
immunoinformat,immunoinformatics
tools/databas,tools/databases
comor-bid,comor-bidity
pol-ymeras,pol-ymerase
immunostimul,immunostimulation immunostimulants
conduct-,conduct-ing
taxonom,taxonomic
propaga-t,propaga-tion
serum-bas,serum-based
episod,episodes episodic episodically
rr,rrs
ci,cis
mellitu,mellitus
lombardi,lombardy
communic,communicability communicable
territorial,territoriale
vares,varese
17-juli,17-july
unexpectedli,unexpectedly
weakli,weakly
tragedi,tragedy
non-immunolog,non-immunological
standpoint,standpoints
princip,principal principally
pioneer,pioneering pioneered pioneers
biochem,biochemical biochemically
bridg,bridging bridge bridges
sensor,sensors
urg,urged urges urging
argu,argue arguing argued argues
socio-demograph,socio-demographic socio-demographics
contract,contracting contracted contraction contracts contractions
consciou,conscious
coronavirus-induc,coronavirus-induced
explant,explantation
prosthesi,prosthesis
periprosthet,periprosthetic
orthopaed,orthopaedic
multi-drug-resist,multi-drug-resistant
colon,colonization
surgeon,surgeons
anaesthesiologist,anaesthesiologists
anesthetist,anesthetists
congest,congestion congested congestive
hcw-despit,hcw-despite
dictat,dictate dictated dictates
window,windows
patent,patented patents patenting
intellectu,intellectual
list,lists listing listed
pcr-test,pcr-tested pcr-testing
archiv,archival archived archives archiving
nottinghamshir,nottinghamshire
cochran,cochrane
lilac,lilacs
quada,quadas
diminish,diminished diminishing diminishes
pituitari,pituitary
glucocorticoid,glucocorticoids
'pituitari,'pituitary
'coronaviru,'coronavirus
'diabet,'diabetes
'obes,'obesity
'adren,'adrenal
'endocrin,'endocrine
disorder-specif,disorder-specific
adren,adrenal adrenals
cush,cushing
insipidu,insipidus
hypopituitar,hypopituitarism
deform,deformity deformations
acromegali,acromegaly
danger,dangerous dangers
amount,amounts amounting
acquir,acquire acquired acquiring acquires
contagios,contagiosity
enigmat,enigmatic
non-emerg,non-emergency non-emergent
caviti,cavity cavities
intraor,intraoral
hint,hints
unimagin,unimaginable
concert,concerted
high-resolut,high-resolution
phocin,phocine
herp,herpes
spectrometri,spectrometry
post-transl,post-translational post-translationally
spectrometry-bas,spectrometry-based
interactom,interactome interactomes
megac,megacity
self-isol,self-isolation self-isolated self-isolating
unreli,unreliable unreliability
horizont,horizontal horizonte horizontally
monkey,monkeys
brush,brushes
rdrp/n/intern,rdrp/n/internal
prioritis,prioritised prioritisation prioritising prioritises
